benchmark	family	bucket	category	n	mean_projection	sd_projection
math500	qwen	p02	persistent_fail	1	5.0498284156879905	0.0
math500	qwen	p03	preserve	9	6.940740204001734	15.139485950971164
math500	qwen	p03	trace_damage	2	-29.055507857627454	0.9229202218151842
math500	qwen	p03	persistent_fail	1	-9.160619286779479	0.0
math500	qwen	p04-05	preserve	21	-2.5675701964867175	16.6726528542631
math500	qwen	p04-05	trace_rescue	1	1.4809793146062473	0.0
math500	qwen	p04-05	trace_damage	2	-27.673763297369483	1.519377453846378
math500	qwen	p04-05	persistent_fail	2	-5.46603141483339	1.5327392085717813
math500	qwen	p06-10	preserve	22	-2.6494861814812114	15.177305400228786
math500	qwen	p06-10	trace_damage	1	-23.13796363799608	0.0
math500	qwen	p11-20	preserve	39	-0.15886592345652056	11.752560954336598
math500	qwen	p11-20	trace_damage	5	-16.34989638248062	8.274222456704718
math500	qwen	p21-50	preserve	68	7.760683583905546	12.3100177709242
math500	qwen	p21-50	trace_damage	11	-1.3973179468397967	8.906892953599383
math500	qwen	p51+	preserve	11	3.8788588642473347	8.201340266479317
math500	qwen	p51+	trace_damage	1	-9.75682351349607	0.0
